regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,3.0,gbpusd,M5,20086,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,4,2,2,50.0,3.794638990582437,0.9486597476456092,2.7729812906169005,379.46389905824367,3.7946389905824365,-106.3884156729182,-1.0638841567291821,873.5,3,1,0.8235965195399833,2.9710424710424537,2,2,0,341.04999999999825,8,6,0
live,3.0,gbpusd,M15,22174,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,48,10,38,20.833333333333336,-13.773002596587858,-0.28693755409558036,0.6623709324366033,-1377.3002596587858,-13.773002596587858,-1716.332412372849,-17.16332412372849,111.3125,29,19,-5.584753688546914,-8.188248908040949,9,38,1,292.2999999999981,82,59,0
live,3.0,gbpusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,128,30,98,23.4375,-16.44924573980858,-0.12850973234225452,0.8426133168087004,-1644.924573980858,-16.44924573980858,-2466.105961270001,-24.661059612700008,40.5546875,68,60,-8.736841132472858,-7.712404607335728,30,98,0,380.41250000000014,248,155,0
live,3.0,gbpusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,210,57,153,27.142857142857142,8.563588130760717,0.04077899109886056,1.0542437178223318,856.358813076071,8.56358813076071,-4097.889758747613,-40.97889758747613,17.547619047619047,116,94,10.238531719059594,-1.6749435882988821,56,153,1,571.6766666666668,547,238,0
live,3.0,gbpusd,D1,6311,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,31,10,21,32.25806451612903,7.730760667053712,0.24937937635657134,1.3523769940754806,773.076066705371,7.73076066705371,-631.6171136638259,-6.316171136638259,4.193548387096774,16,15,3.2598542734877096,4.470906393566002,10,21,0,613.5967741935463,216,31,0
live,3.0,us100,M1,26000,2026-08-09 22:00:00+00:00,2026-09-03 05:36:00+00:00,77,22,55,28.57142857142857,4.814743568297708,0.06252913725061959,1.0808836337208405,481.4743568297703,4.814743568297702,-1347.7928997201925,-13.477928997201923,116.42857142857143,38,39,3.5996942389039246,1.2150493293937823,22,55,0,331.0285714285726,163,106,0
live,3.0,us100,M5,21307,2026-05-10 22:00:00+00:00,2026-08-21 20:55:00+00:00,201,56,145,27.860696517412936,11.97943349535126,0.05959917161866299,1.0785646082313292,1197.9433495351266,11.979433495351266,-2802.288888040739,-28.022888880407393,18.52238805970149,102,99,-6.791965636407881,18.771399131759154,56,144,1,451.6527363184077,404,226,0
live,3.0,us100,M15,21857,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,178,66,112,37.07865168539326,77.4652967603171,0.43519829640627583,1.661476626086729,7746.529676031711,77.4652967603171,-1395.3094223727749,-13.95309422372775,12.960674157303371,106,72,32.59300543533498,44.87229132498213,66,112,0,474.6224719101113,466,196,0
live,3.0,us100,H1,21841,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,145,46,99,31.724137931034484,32.62729970508438,0.2250158600350647,1.3157962884509158,3262.729970508439,32.62729970508439,-1242.1891793437335,-12.421891793437336,7.731034482758621,97,48,14.454862601000025,18.17243710408436,46,99,0,544.8331034482752,543,151,0
live,3.0,us100,H4,14187,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,82,28,54,34.146341463414636,20.371846727713645,0.24843715521602006,1.326044005999885,2037.1846727713644,20.371846727713645,-938.1727428317645,-9.381727428317644,18.548780487804876,62,20,13.45913193768198,6.912714790031663,28,54,0,612.8243902439017,440,98,0
